Quantity,Artefact,Brand,Model Number,Artefact Problem,Problem Symptoms,Problem Investigation,Artefacts Needed for Problem Investigation,Problem Resolution,Way of Carrying Out the Problem Resolution,Artefacts Needed for Problem Resolution
Universally,Refrigerator,N/A,N/A,Broken Compressor Pump,Leaking fluid,"Unplug the refrigerator and take off the cover from the evaporator fan, located on the backside of the back panel of your freezer compartment. Check the fan for ice or frost, damage to the fan blades, or if the motor shaft turns freely. Use a multimeter to check the motor for continuity.",Multi-meter,Replace the broken compressor,"Unplug the refrigerator, take off the cover from the evaporator fan, check the fan and motor, use the multimeter to check the motor for continuity, and replace the compressor.",Multi-meter
Universally,Refrigerator,N/A,N/A,Temperature control,Fridge and Freezer are too warm,"Check the evaporator fan motor, temperature sensor, or temperature control switch",N/A,Replace Electronic Control Board,"Check power is being supplied to the compressor from the control board, check the external controls and the temperature sensors, unplug the fridge and inspect the control board for evidence of burnt connections, deteriorated foil, or signs that arcing has occurred.",Electronic Control Board
Universally,Refrigerator,N/A,N/A,Defrost Timer,Fridge and Freezer too warm,"Check evaporator fan motor, temperature sensor, or temperature control switch",N/A,Replace defrost timer,Locate terminals on the defrost timer upon which to perform continuity checks for the motor or the switch; Test harness leads to the defrost heater,Service Technician
Universally,Refrigerator,N/A,N/A,Temperature control,Fridge and Freezer are too warm,"Check the evaporator fan motor, temperature sensor, or temperature control switch",Multi-meter,Replace the defrost thermostat,Check for continuity of the thermostat in an environment of 15 degrees F with the fridge unplugged to eliminate the chance of electric shock.,Defrost thermostat
Universally,Refrigerator,N/A,N/A,Defrost Heater,Fridge and Freezer are too warm,"Check the evaporator fan motor, temperature sensor, or temperature control switch",Multi-meter,Replace the defrost heater,Unplug the fridge and remove the evaporator cover from the back of the freezer compartment. Then locate the heater tube(s) and perform a multi-meter test for continuity.,N/A
Universally,Refrigerator,N/A,N/A,Broken compressor pump,Leaking fluid,"Check the evaporator fan motor, temperature sensor, or temperature control switch",Multi-meter,Replace the broken compressor,"Unplug the fridge and take off the access panel at the back. Check for wear on the motor or blades, or signs the motor has seized and must be replaced. Use a multi-meter to check the motor for continuity. If the blades or rubber mounting grommets are worn or damaged, switch them out for new ones.",Replacement compressor and tools for repair
Universally,Refrigerator,N/A,N/A,Broken water inlet valve or water dispenser actuator,Not dispensing water,Check the owner’s manual under “Maintenance” to find the location of the filter in your particular fridge,N/A,Replace the ice & water filter,Twice a year or more often if your area has hard water,Filter
Typically,Refrigerator,N/A,N/A,Broken Water Inlet Valve,Not dispensing water,"Unplug the refrigerator and shut off the water supply to it. Remove the back panel and trace the water tube from the water dispenser to the valve to discover the solenoid inlet valve responsible for switching on the water flow. Test the terminals of that solenoid with a multi-meter to determine if it has continuity. Check to see if the tube bringing water in has a little debris screen on it, which may have gotten clogged. If so, clean the screen to allow water back into the water dispenser. Check the inlet tubing for blockage, and make sure the manual water shut-off valve is clean and clear on the inside. It could be that you need greater household water pressure to keep water flowing at the inlet to the valve. Or it could be that there’s dirt or a defect inside the water inlet valve. See the section here on the water dispenser actuator, and the micro switch, since the problem with the water dispensing could lie there as well. If all of these components check out fine, check to ensure power is reaching the water valve properly. This is a job for a service technician, since live voltage is involved.","Multi-meter, debris screen, manual water shut-off valve",Replace the water valve,Unplug the refrigerator and shut off the water supply to it. Remove the back panel and trace the water tube from the water dispenser to the valve to discover the solenoid inlet valve responsible for switching on the water flow. Test the terminals of that solenoid with a multi-meter to determine if it has continuity. Replace the valve.,"Multi-meter, new water valve"
Universally,Refrigerator,,,Not dispensing water,A broken water inlet valve or water dispenser actuator could be to blame,"Unplug the fridge and take the cover off the control panel. Does the actuator push the switch when you press it? Check the bracket that houses the actuator, the bracket that houses the switch, and the pivot of the actuator.","Screwdrivers, wrench",Replace the water valve,,"Screwdrivers, wrench"
Universally,Refrigerator,N/A,N/A,Broken water inlet valve or water dispenser actuator,N/A,"Unplug the fridge, take the cover off the control panel, and find the switch behind the lever to check its continuity, using a multi-meter.",Multi-meter,Replace the water valve,"Behind the little lever you press with the rim of your water glass to start up the flow of water from your fridge is the dispenser micro switch. When it makes contact, it sends power to the water inlet valve via a solenoid.","Screwdriver, Water valve"
Universally,Refrigerator,N/A,N/A,Broken water inlet valve or water dispenser actuator,Water not available from water dispenser,Check owner’s manual or manufacturer’s website,N/A,Replace water inlet valve,Check owner’s manual or manufacturer’s website for instructions,Tools and/or parts needed to replace water inlet valve
Universally,Refrigerator,N/A,N/A,Defrost Timer,N/A,Unplug the fridge and locate the terminals on the defrost timer upon which to perform continuity checks for the motor or the switch,Screwdriver,Replace the defrost timer,"Insert the blade of a flat screwdriver into the slot in the middle of the timer, and turn it (the slot will only move in one direction). If the timer activates the switch for the heater, you’ll hear a click. But if the heater doesn’t engage when you do this, or the timer doesn’t start subsequently moving on its own, you need a new timer.",Screwdriver
Universally,Refrigerator,N/A,N/A,Defrost Heater,Fridge runs too long,Unplug the fridge and remove the evaporator cover from the back of the freezer compartment. Then locate the heater tube(s) and perform a multi-meter test for continuity.,Multi-meter,Replace the defrost heater and defrost timer,Follow the manufacturer’s instructions for replacing the heater and timer.,"Defrost Heater, Defrost Timer"
Typically,Refrigerator,N/A,N/A,Defrost Termination Thermostat,Fridge runs too long,Check continuity of defrost heater and defrost timer,Multimeter,Replace defrost heater and defrost timer,Unplug refrigerator and check continuity of heater circuit,Defrost heater and defrost timer
Typically,Refrigerator,N/A,N/A,Defrost heater and defrost timer not working properly,Fridge running too long,"Check for moisture on freezer shelves, along the edge of the door, and in the area of the air outlet ducts. Verify that gasket is uniform in shape, flexible, and uncracked.",N/A,Replace defrost heater and defrost timer,"Run the new gasket, on low heat, in the clothing dryer to make it more flexible and easier to fit onto the fridge door.","New gasket, clothing dryer"
Typically,Refrigerator,N/A,N/A,Broken compressor pump,Leaking fluid,"Unplug fridge and take off access panel at the back. Check for wear on the motor or blades, or signs the motor has seized. Check if the fan turns on when the compressor does. Have a service technician check that the fan motor terminals are getting electricity, the connections are tightly coupled, and that the motor has continuity and the correct voltage.","Vacuum, screwdriver, service technician",Replace broken compressor,"Unplug fridge, take off access panel at the back, check for wear on the motor or blades, replace motor or blades as needed, check if the fan turns on when the compressor does, have a service technician check that the fan motor terminals are getting electricity, the connections are tightly coupled, and that the motor has continuity and the correct voltage.","Vacuum, screwdriver, new motor or blades, service technician"
Universally,Refrigerator,N/A,N/A,Broken Compressor Pump,Leaking Fluid,"Unplug the fridge and take off the cover from the evaporator fan, located on the back side of the back panel of your freezer compartment. Check to see if the fan is clogged up with frost or ice, if there is damage to the fan blades, or if they are loose. Use a multimeter to check the motor to ensure continuity. Check to see if the motor shaft turns freely.",Multi-meter,Replace the broken compressor,Unplug the fridge and take off the cover from the evaporator fan. Use a multimeter to check the motor to ensure continuity. Check to see if the motor shaft turns freely. Replace the motor if necessary.,Multi-meter
Universally,Refrigerator,N/A,N/A,Broken compressor pump,Leaking fluid,Check the compressor pump for signs of damage or malfunction,N/A,Replace the compressor pump,"Drain the fluid, disconnect the power and the compressor, remove the old compressor and replace it with a new one","Screwdriver, wrench, new compressor"
Universally,Refrigerator,N/A,N/A,Light not working,N/A,"Remove the light bulb and look to see if the filament is broken. Or check it for continuity with a multi-meter. When in doubt, try a new bulb.",Multi-meter,Replace light bulb or socket,Remove the light bulb and replace it with a new one or check it for continuity with a multi-meter.,Light bulb
Universally,Refrigerator,N/A,N/A,Light not working,N/A,Unplug the fridge and check the light socket next,N/A,Replace light socket,Make sure the terminals aren’t damaged or discolored,Light socket
Universally,Refrigerator,N/A,N/A,Broken compressor pump,Leaking fluid,Check continuity with a multi-meter,Multi-meter,Replace the compressor,Unplug the fridge and carefully remove the part of the liner that the switch is housed in. Check continuity with a multi-meter. Replace the switch with a new one.,"Multi-meter, new switch"
Universally,Refrigerator,N/A,N/A,Light not working,N/A,"Unplug the fridge and check the socket terminals for damage or discoloration, verify the continuity of the on/off switch, and, finally, inspect the control plate for damage or wear.",N/A,Replace the light bulb,"Unplug the fridge, remove the old light bulb, install the new light bulb, and ensure that the socket is secure.",Light bulb
Universally,Refrigerator,N/A,N/A,Damaged air inlet damper,Too cold,Check the temperature sensor and control board,N/A,Replace the temperature sensor or thermistor,"Check the owner’s manual or manufacturer’s website to decode the fault code, if applicable, or to find a diagnostic procedure for isolating problems in the temperature sensors",Temperature sensor or thermistor
Universally,Refrigerator,N/A,N/A,Damaged air inlet damper,Too much cold air entering fridge,Check temperature sensor and control board,N/A,Replace main control board,"Check control board for evidence of burnt connections, deteriorated foil, or signs of arcing; refer to owner’s manual or manufacturer’s website",Control board
Typically,Refrigerator,N/A,N/A,Cold Control or Temperature Control,Fridge too cold,"Unplug the fridge. Find the cold control: it will be the knob with a range starting at “off,” inside your fridge, where the food’s stored. When the knob is at midpoint of its range, the fridge should be at about 38 degrees F. Check to ensure that the sensor wire or bulb is in its place and shows no sign of damage. Inspect the wire terminals on the control to make sure they’re not corroded or loose. And use your multi-meter to make sure the control itself has continuity. If all the items on this checklist seem normal, plug the fridge back in and reset the cold control and the freezer control to the median setting. Keep an eye on the temperature for a day or so before altering the settings.",Multi-meter,Replace the cold control and reset the cold control and freezer control to the median setting,"Check the sensor wire or bulb, inspect the wire terminals on the control, and use a multi-meter to make sure the control has continuity.",Multi-meter
Universally,Refrigerator,N/A,N/A,Broken Compressor Pump,Leaking Fluid,"Check for moisture on the freezer shelves, along the edge of the door, and in the area of the air outlet ducts. Verify that the gasket’s still uniform in shape, flexible, and uncracked.",N/A,Replace the broken compressor,"Run the new gasket, on low heat, in the clothing dryer so that it will be more flexible and easier to fit onto the fridge door.","Clothing dryer, new gasket"
Universally,Refrigerator,N/A,N/A,Broken Compressor Pump,Leaking fluid,"Inspect the compressor pump, check for any visible damage, and check the connections to ensure they are secure","Compressor pump, screwdriver",Replace the compressor pump,"Turn off the power to the refrigerator, disconnect the power cord, remove the access panel, disconnect the wiring harness, remove the old compressor, install the new compressor, reconnect the wiring harness, reinstall the access panel, turn on the power to the refrigerator","Compressor pump, screwdriver"
Universally,Refrigerator,N/A,N/A,Door Sweating,A gap in the door seal caused by broken hinge cams,Remove the hinge cover and watch the hinge cams as you open and shut the fridge to make sure they operate the way they ought to.,N/A,Replace the door closure cam kit,"Remove the door, disconnect the wiring harness, and then replace the door closure cam kit.","Screwdriver, door closure cam kit"
Universally,Refrigerator,N/A,N/A,Broken Compressor Pump,Leaking fluid,Check the compressor pump for signs of damage,N/A,Replace the broken compressor,"Disconnect the power to the fridge, remove the old compressor, install the new compressor, reconnect the power to the fridge","Compressor, Screwdriver"
Universally,Refrigerator,N/A,N/A,Air Damper or Freezer Control,Freezer too cold,"Check for obstructions or binding on the damper, unplugging the fridge and removing the damper cover first, and make sure the control is running the damper. If there is an automatic temperature-sensing bulb attached, ensure it’s positioned correctly to measure the temperature inside the fridge and do its job adjusting the control.",N/A,Replace the temperature sensor or thermistor,N/A,N/A
Typically,Refrigerator,N/A,N/A,Temperature Sensor or Thermistor,Freezer too cold,Check owner’s manual or manufacturer’s website to decode the fault code or to find a diagnostic procedure for isolating problems in the temperature sensors.,N/A,Replace temperature sensor or thermistor,Isolate the sensor and replace it with a new one.,Temperature sensor or thermistor
Typically,Refrigerator,N/A,N/A,Condenser Fan Motor,Noisy,"Inspect fan motor and blades, check for wear, replace mounting grommets",Vacuum cleaner,Replace fan motor,"Remove access panel from back of fridge, remove debris from fan blade, check for wear, replace mounting grommets","Fan motor, mounting grommets"
Typically,Refrigerator,N/A,N/A,Evaporator Fan Motor,Noisy,Remove cover from fan in fridge; check if fan is cold; check for damage to fan blades,N/A,Replace fan,Turn off power; isolate noise; replace fan if motor shaft does not turn freely,Fan
Typically,Refrigerator,N/A,N/A,Evaporator Fan Motor Grommet,Noisy,Check fan motor in the freezer compartment behind the fridge,N/A,Replace grommets,Take a look at the fan motor in the freezer compartment behind the fridge and replace the grommets if they are loose,New grommets
Typically,Refrigerator,N/A,N/A,Damaged door gasket,Water along the edge of the door,Check for water along the edge of the door and make sure the gasket is still in its original shape,N/A,Replace gasket,Run a new gasket on low heat in the clothing dryer to make it easier to fit it onto the fridge door,"Gasket, Clothing Dryer"
Typically,Refrigerator,N/A,N/A,Leaking,Water Inlet Valve,"Unplug the fridge and turn off the water supply. Check the connections on the water supply pipes to see if they are cracked or leaky: you may need to tighten or replace those connectors. Check the valve itself in the same way, as well as the outlet tubing.",N/A,Replace water inlet valve,"Unplug the fridge, turn off the water supply, check the connections on the water supply pipes, check the valve itself, check the outlet tubing, replace anything cracked, abraded, brittle or broken.","Screwdriver, wrench"
Typically,Refrigerator,N/A,N/A,Ice Maker Assembly,"No ice, smaller ice cubes or ice that is coming out as a big block instead of in cubes",Unplug fridge and remove outlet tube between the ice maker and the fill valve,N/A,Replace the water valve,Unplug fridge and remove outlet tube between the ice maker and the fill valve,N/A
Typically,Refrigerator,N/A,N/A,Overload or Relay Start Capacitor,"Clicking, compressor won't start",Check relay and overload with a multi-meter,Multi-meter,Replace start capacitor,"Check relay and overload with a multi-meter, replace start capacitor",Start capacitor
Universally,Refrigerator,N/A,N/A,Cold Control & Temperature Control,N/A,"Check relays, temperature control, and electronic control board",Multi-meter,Replace temperature control,"Remove terminal leads, take front panel off, remove temperature control from housing, use multimeter to check continuity as knob is turned down",Multi-meter
Typically,Refrigerator,N/A,N/A,Electronic Control Board,"Power not supplied to compressor, burnt connections, deteriorated foil, arcs","Check power supply, external controls, control board for evidence of damage",N/A,Replace Electronic Control Board,"Check power supply, external controls, control board for evidence of damage, replace electronic control board","Control board, replacement part"
Typically,Refrigerator,N/A,N/A,Air Inlet Damper or Baffle,Fridge too warm,Jiggle the knob to see if it opens,N/A,Replace air damper,"Check off setting on knob, make sure temperature-sensitive bulb is positioned correctly","Air damper, temperature-sensitive bulb"
Universally,Refrigerator,N/A,N/A,Ice maker not making ice,Iced over fill cup/tube,"Inspect water supply, check inlet valve, check water pressure",N/A,Replace outlet tube between ice maker and fill valve,Remove outlet tube and replace it,N/A
Typically,Refrigerator,N/A,N/A,Water Inlet Valve,N/A,"Inspect water supply, check back of fridge for tubes, filters, and inlet valves, check manual water shut-off valve, check inlet tubing for obstructions, check if ice maker fill tube has iced over, check household water pressure, check power to valve",Multi-meter,Replace water inlet valve,"Shut off water supply and check electrical function of water inlet valve, find solenoid inlet valve and trace water tube from ice machine, check ice maker control",Multi-meter
Typically,Refrigerator,N/A,N/A,Ice & Water Filter,Ice maker not making ice,Inspect water supply,N/A,Replace filter,Check owner's manual for filter location,Filter
Typically,Refrigerator,N/A,N/A,Ice maker not making ice,N/A,"Inspect water supply; check tubes, filters, and inlet valves",N/A,Replace Ice Maker Assembly & Replacement Ice Maker,Put ends of 14-gauge solid wire in test points labeled T and H for 5-10 seconds; close freezer door switch if test run doesn't start; put test leads in test points labeled L and N to check electricity flow,14-gauge solid wire
Typically,Refrigerator,N/A,N/A,Evaporator Fan Motor,Fridge and Freezer are too warm,"Check fan motor, temperature sensor, and temperature control switch",Multi-meter,Replace fan motor,"Check motor shaft, replace fan blades, have a service technician take a look at power and motor",Multi-meter
Typically,Refrigerator,N/A,N/A,Control of temperature,Fridge and Freezer too warm,"Check fan motor, temperature sensor and temperature control switch",N/A,Replace Electronic Control Board,"Check power to compressor, temperature sensors and external controls. Check control board for evidence of burnt connections, deteriorated foil or signs of arcs. Refer to manufacturer's manual for diagnostic instructions",Electronic Control Board
Universally,Refrigerator,N/A,N/A,Temperature Sensor or Thermistor,Fridge and Freezer are too warm,Look at owner's manual or manufacturer's website,N/A,Check temperature sensor or thermistor,Isolate problems in the temperature sensors,Temperature sensor or thermistor
Typically,Refrigerator,N/A,N/A,Defrost Timer Malfunction,Frost build-up/compressor not started again at end of defrost cycle,"Check fan motor, temperature sensor, temperature control switch",Multimeter,Replace defrost timer,"Check continuity of motor/switch, live voltage test",Multimeter
Typically,Refrigerator,N/A,N/A,Defrost Thermostat,Fridge and Freezer are too warm,"Multi-meter check for continuity of thermostat in an environment of 15 degrees, fridge unplugged to eliminate electric shock",Multi-meter,Replace thermostat,"Unplug fridge, check for continuity of thermostat in 15 degree environment",Thermostat
Universally,Refrigerator,N/A,N/A,Control of temperature,Fridge and Freezer too warm,"Check fan motor, temperature sensor, and temperature control switch",Multi-meter,Defrost Heater,Locate heater tube and perform multi-meter test,N/A
Typically,Refrigerator,N/A,N/A,Condenser Fan Motor Malfunction,Fridge and Freezer too warm,"Check fan motor, temperature sensor, and temperature control switch","Multi-meter, Vacuum",Replace fan motor,"Remove access panel from back of fridge, remove rubbish, check for wear on motor or blades, check motor for continuity, replace rubber mounting grommets","Multi-meter, Vacuum, Replacement fan motor and rubber mounting grommets"
Typically,Refrigerator,N/A,N/A,Broken water inlet valve,No water,Check owner's manual,N/A,Replace Ice & Water Filter,Check location of filter in open area of fridge,Filter
Typically,Refrigerator,N/A,N/A,Broken Water Inlet Valve,No Water Dispensing,"Shut off the water supply to the refrigerator and check the water inlet valve. To find the solenoid inlet valve that controls the water flow, you have to remove the back panel and trace the water tube from the water dispensers to the valve. If it has continuity, you can test the terminals with a multi-meter. If the tube bringing water in has a little debris screen on it, it could be that it has gotten blocked. If that's the case, you should clean the screen to let water back in. Make sure the manual water shut-off valve is clean, and check the inlet tubing for obstructions. It's possible that you need more water pressure in your house to keep the water flowing.","Multi-meter, Manual Water Shut-off Valve",Replace the Water Valve,"Shut off the water supply to the refrigerator, remove the back panel and trace the water tube from the water dispensers to the valve. Test the terminals with a multi-meter. Clean the debris screen and the manual water shut-off valve. Check the inlet tubing for obstructions.",Multi-meter
Typically,Refrigerator,N/A,N/A,Broken Water Inlet Valve,No water,"Remove control panel from fridge, check brackets that house the actuator, switch and pivot",N/A,"Replace actuator, switch and pivot",Check switch gets pushed when you press it,N/A
Typically,Refrigerator,N/A,N/A,Broken water inlet valve,No water,"Unplug the fridge, take the cover off the control panel, and find the switch behind the lever to check the continuity using a multi-meter",Multi-meter,Replace the water valve,"Unplug the fridge, take the cover off the control panel, locate the switch behind the lever, use a multi-meter to check the continuity",Multi-meter
Typically,Refrigerator,N/A,N/A,Broken Water Inlet Valve,No water,Check owner's manual,N/A,Replace water inlet valve,Follow manufacturer's instructions,Water inlet valve
Typically,Refrigerator,,,Defrost Timer,Fridge runs too long,Unplug the fridge. Advance the timer with a screwdriver. Check for continuity with a motor or switch.,Screwdriver,Replace Defrost Timer,Use a flat screwdriver to advance the timer. Unplug the fridge and perform continuity checks on the motor or switch.,Flat screwdriver
Typically,Refrigerator,N/A,N/A,Defrost Heater,The frost and ice off the coil can be thawed by the defrost heater,Locate the heater tube and perform a multi-meter test,Multi-meter,Replace the defrost heater,"Locate the heater tube, unplug the refrigerator, remove the evaporator cover, and replace the defrost heater","Screwdriver, Wrench"
Typically,Refrigerator,N/A,N/A,Defrost Termination Thermostat,Temperature in the refrigerator can be controlled with a defrost heater and timer.,"Multi-meter check for continuity in an environment of same temperature, with fridge unplugged, if temperature is over 35 degrees F.",Multi-meter,Replace the defrost heater and timer,"Plug the fridge and check for continuity, high resistance when thermostat is open and low resistance when the thermostat is closed.",Defrost heater and timer
Typically,Refrigerator,N/A,N/A,Defrost heater and timer running too long,Temperature in refrigerator can be controlled with defrost heater and timer,"Check freezer shelves, air outlet ducts, and edge of door",N/A,Replace defrost heater and timer,N/A,N/A
Typically,Refrigerator,N/A,N/A,Defrost heater/timer problem,Temperature in refrigerator can't be controlled,Check fan in freezer compartment,Multi-meter,Replace fan/motor,Check motor with multi-meter,Fan blades/Motor
Universally,Refrigerator,N/A,N/A,Sealed System,The fridge could be malfunctioning or running too long if the parts are damaged or malfunctioned,"Check the compressor, condenser, evaporator, and tubes",Service Technician,Replace Defrost Heater and Timer,"Unplug the refrigerator from the power source, remove the back panel, locate the defrost timer and heater, remove them, install the new parts, and reconnect the refrigerator to the power source",Defrost Heater and Timer
Universally,Refrigerator,N/A,N/A,Light not working,N/A,N/A,N/A,Replace light bulb,"Check continuity with multi-meter, try new bulb when unsure",Light bulb or Lamp
Universally,Refrigerator,N/A,N/A,Light not working,N/A,Plug the fridge and check the light sockets when the bulb is good but the light isn't working. The terminals should not be discolored or damaged.,N/A,Replace light bulb,N/A,Light bulb
Typically,Refrigerator,,,Door Light Switch,,"Remove the liner from the fridge if it is stuck. When the switch is up, there should be continuity, and there should be no continuity when it is down. When the door opens, there should be a spring inside the switch.",Screwdriver,Replace the switch,,Screwdriver
Typically,Refrigerator,N/A,N/A,Light not working,N/A,"Check the sockets for damage or wear, verify the continuity of the on/off switch, and inspect the control plate for damage.",N/A,Replace light bulb,"Verify the continuity of the on/off switch, inspect the control plate for damage, and install a new light bulb.",Light bulb
Typically,Refrigerator,N/A,N/A,Air Inlet Damper or Baffle,Too much cold air in the fridge,Check temperature sensor and control board,N/A,Replace air inlet damper,Jiggle knob to see if it closes; Replace if stuck; Position temperature-sensitive bulb correctly,N/A
Universally,Refrigerator,N/A,N/A,Temperature Sensor or Thermistor,Too much cold air in the fridge,Check temperature sensor and control board,N/A,Replace temperature sensor or thermistor,Check owner's manual or manufacturer's website,Temperature sensor or thermistor
Typically,Refrigerator,N/A,N/A,Main Control Board,Too much cold air in the fridge,Check temperature sensor and control board,N/A,Replace control board,"Check for signs of burnt connections, deteriorated foil, or arcs",Owner's manual or manufacturer's website
Typically,Refrigerator,N/A,N/A,Cold Control or Temperature Control,Too much cold air in the fridge,Check temperature sensor and control board,Multi-meter,Adjust temperature control,"Plug in the fridge, check wire terminals, check continuity with multi-meter, reset temperature control",Multi-meter
Typically,Refrigerator,N/A,N/A,Broken Compressor Pump,Leaking Fluid,"Check freezer shelves, along the edge of the door, and the air outlet ducts.",N/A,Replace the compressor pump,"Clean the compressor, run a new gasket on low heat in the clothing dryer","Screwdriver, replacement compressor pump, new gasket"
